student_id,full_name,email,phone,age,grade,city,school,enrolled_course,join_date,last_active,xp_points,lessons_completed,streak_days,quizzes_attempted,quiz_avg_score,badge,island_level,subscription_plan,referral_code
LK0029,Vivaan Nair,vivaan.nair24@gmail.com,9845506020,13,8th,Chandigarh,Springdales School,MERN Stack Basics - Batch 8,2024-12-12,2025-05-16,1378,54,110,23,34.3,Explorer,1,Free,LKVI4592
LK0030,Avni Kumar,avni.kumar26@gmail.com,9904208438,12,7th,Delhi,The Shri Ram School,MERN Stack Basics - Batch 8,2024-06-01,2025-05-24,3632,43,29,37,81.1,Innovator,5,Basic,LKAV8780
LK0031,Ritvik Rastogi,ritvik.rastogi78@gmail.com,9351843453,11,6th,Indore,The Shri Ram School,MERN Stack Basics - Batch 6,2025-02-19,2025-03-19,100,10,97,14,93.1,Innovator,5,Free,LKRI7296
LK0032,Ayaan Rao,ayaan.rao74@gmail.com,9427271354,12,6th,Kolkata,Ryan International School,MERN Stack Basics - Batch 7,2024-04-05,2025-01-24,1113,4,107,24,82.5,Builder,4,Basic,LKAY4996
LK0033,Neha Chauhan,neha.chauhan46@gmail.com,9312470890,14,6th,Delhi,Ryan International School,MERN Stack Basics - Batch 8,2025-03-29,2025-05-24,2289,40,57,34,51.6,Beginner,6,Basic,LKNE1344
LK0034,Shaurya Singh,shaurya.singh80@gmail.com,9928766329,11,6th,Indore,Kendriya Vidyalaya,MERN Stack Basics - Batch 8,2025-03-15,2025-06-07,3709,5,56,4,59.6,Champion,8,Free,LKSH6511
LK0035,Siddharth Dubey,siddharth.dubey32@gmail.com,9422221049,11,6th,Gurugram,Modern School,MERN Stack Basics - Batch 7,2025-03-12,2025-02-25,586,45,94,33,83.5,Beginner,1,Free,LKSI2441
LK0036,Muskan Chauhan,muskan.chauhan54@gmail.com,9119216889,14,8th,Chennai,The Shri Ram School,MERN Stack Basics - Batch 8,2025-04-14,2025-05-28,1876,46,62,29,69.3,Innovator,7,Pro,LKMU1563
LK0037,Neha Yadav,neha.yadav47@gmail.com,9827583235,14,7th,Noida,Delhi Public School,MERN Stack Basics - Batch 8,2024-01-24,2025-06-13,3032,79,5,38,38.4,Explorer,4,Free,LKNE2543
LK0038,Aditya Sharma,aditya.sharma29@gmail.com,9568838262,12,8th,Hyderabad,Ryan International School,MERN Stack Basics - Batch 7,2025-03-29,2025-03-14,2048,3,56,42,89.2,Builder,1,Free,LKAD1778
LK0039,Krishna Saxena,krishna.saxena57@gmail.com,9859521692,12,6th,Pune,The Shri Ram School,MERN Stack Basics - Batch 8,2024-02-26,2025-02-17,1882,19,41,32,40.7,Builder,2,Free,LKKR9523
LK0040,Aryan Khanna,aryan.khanna97@gmail.com,9292256572,11,7th,Noida,Modern School,MERN Stack Basics - Batch 8,2024-11-19,2025-06-26,68,21,28,42,53.0,Innovator,4,Basic,LKAR6600
LK0041,Ananya Nair,ananya.nair57@gmail.com,9996489323,11,6th,Gurugram,St. Xavier's School,MERN Stack Basics - Batch 8,2025-02-02,2025-03-09,502,0,60,10,32.4,Explorer,6,Basic,LKAN1929
LK0042,Shaurya Iyer,shaurya.iyer74@gmail.com,9696515881,13,8th,Indore,DAV Public School,MERN Stack Basics - Batch 8,2024-03-26,2025-04-17,3865,4,117,30,39.0,Champion,10,Free,LKSH5179
LK0043,Riya Reddy,riya.reddy66@gmail.com,9962727179,14,8th,Pune,DAV Public School,MERN Stack Basics - Batch 8,2024-12-31,2025-05-16,4797,43,31,49,53.3,Innovator,9,Free,LKRI7259
LK0044,Pooja Rao,pooja.rao74@gmail.com,9181941384,13,6th,Ahmedabad,Modern School,MERN Stack Basics - Batch 8,2024-02-06,2025-03-26,494,60,61,3,79.0,Champion,6,Free,LKPO7125
LK0045,Kritika Yadav,kritika.yadav60@gmail.com,9697079668,14,6th,Ahmedabad,Delhi Public School,MERN Stack Basics - Batch 7,2024-10-04,2025-02-04,4689,44,98,40,66.4,Innovator,8,Basic,LKKR9355
LK0046,Deepa Khanna,deepa.khanna24@gmail.com,9571986136,13,8th,Noida,Delhi Public School,MERN Stack Basics - Batch 6,2025-02-16,2025-06-20,463,9,47,7,99.7,Explorer,6,Free,LKDE5308
LK0047,Riya Rastogi,riya.rastogi96@gmail.com,9993694529,11,6th,Chandigarh,Kendriya Vidyalaya,MERN Stack Basics - Batch 8,2024-09-10,2025-02-10,478,56,94,3,58.3,Explorer,6,Free,LKRI8529
LK0048,Pranav Sharma,pranav.sharma73@gmail.com,9759150472,12,7th,Gurugram,Modern School,MERN Stack Basics - Batch 6,2024-12-18,2025-04-24,1686,72,108,38,55.6,Builder,6,Free,LKPR7540
LK0049,Ishita Khanna,ishita.khanna18@gmail.com,9820118960,13,7th,Jaipur,DAV Public School,MERN Stack Basics - Batch 8,2024-07-18,2025-03-15,873,8,102,50,48.6,Beginner,9,Basic,LKIS1951
LK0050,Arjun Choudhary,arjun.choudhary91@gmail.com,9310199637,13,7th,Kolkata,Springdales School,MERN Stack Basics - Batch 7,2025-05-13,2025-04-14,2041,14,115,26,33.8,Champion,7,Basic,LKAR1362
LK0051,Bhavna Reddy,bhavna.reddy53@gmail.com,9813632070,14,8th,Chennai,St. Xavier's School,MERN Stack Basics - Batch 7,2024-12-25,2025-01-28,2275,7,83,49,33.6,Builder,4,Basic,LKBH3456
LK0052,Nikhil Singh,nikhil.singh48@gmail.com,9931157522,11,6th,Jaipur,Delhi Public School,MERN Stack Basics - Batch 8,2025-01-28,2025-05-27,3279,7,30,11,77.8,Beginner,7,Free,LKNI4468
LK0053,Aryan Shukla,aryan.shukla47@gmail.com,9115817592,11,6th,Indore,Bal Bharati Public School,MERN Stack Basics - Batch 6,2024-07-11,2025-03-06,1353,4,39,20,40.2,Coder,10,Free,LKAR5565
LK0054,Yash Shukla,yash.shukla27@gmail.com,9860522542,14,7th,Lucknow,Modern School,MERN Stack Basics - Batch 7,2025-02-16,2025-03-30,2814,45,54,24,62.4,Innovator,2,Free,LKYA9291
LK0055,Sai Mehta,sai.mehta20@gmail.com,9275618065,13,7th,Lucknow,Springdales School,MERN Stack Basics - Batch 7,2025-05-19,2025-05-21,3044,39,40,36,81.8,Innovator,5,Basic,LKSA7321
LK0056,Dhruv Mehta,dhruv.mehta87@gmail.com,9655790622,12,7th,Ahmedabad,Ryan International School,MERN Stack Basics - Batch 8,2024-03-20,2025-03-24,2810,59,41,22,34.4,Explorer,8,Basic,LKDH2028
LK0057,Diya Tiwari,diya.tiwari29@gmail.com,9519106308,14,6th,Ahmedabad,Modern School,MERN Stack Basics - Batch 6,2024-01-06,2025-02-04,2283,72,27,6,58.6,Champion,1,Basic,LKDI5673
LK0058,Aarush Patel,aarush.patel39@gmail.com,9751779474,11,8th,Mumbai,Amity International School,MERN Stack Basics - Batch 7,2024-08-12,2025-01-02,2777,37,9,10,73.0,Champion,8,Basic,LKAA8491
LK0059,Kritika Patel,kritika.patel57@gmail.com,9232076105,14,8th,Noida,Amity International School,MERN Stack Basics - Batch 6,2024-05-12,2025-04-25,3723,40,114,24,96.4,Coder,5,Free,LKKR9937
LK0060,Dhruv Choudhary,dhruv.choudhary15@gmail.com,9631796067,14,6th,Hyderabad,St. Xavier's School,MERN Stack Basics - Batch 7,2024-11-03,2025-04-12,3293,63,100,9,39.7,Coder,10,Free,LKDH1248
LK0061,Aisha Yadav,aisha.yadav38@gmail.com,9744524960,11,8th,Ahmedabad,Modern School,MERN Stack Basics - Batch 7,2024-12-07,2025-04-14,2367,76,42,25,90.0,Champion,1,Free,LKAI9240
LK0062,Dev Mishra,dev.mishra57@gmail.com,9464574353,14,8th,Hyderabad,Modern School,MERN Stack Basics - Batch 8,2024-02-29,2025-02-26,3619,10,109,40,70.4,Innovator,6,Free,LKDE6750
LK0063,Karan Kumar,karan.kumar72@gmail.com,9467101932,13,6th,Gurugram,Amity International School,MERN Stack Basics - Batch 7,2024-02-13,2025-02-28,97,32,64,18,66.1,Explorer,2,Basic,LKKA4189
LK0064,Dev Tiwari,dev.tiwari21@gmail.com,9470605182,12,6th,Chandigarh,Springdales School,MERN Stack Basics - Batch 7,2024-03-19,2025-06-03,1753,53,3,44,67.8,Explorer,5,Free,LKDE3036
LK0065,Divya Mishra,divya.mishra71@gmail.com,9909432938,14,8th,Indore,Amity International School,MERN Stack Basics - Batch 6,2024-06-11,2025-02-21,4117,10,119,45,74.3,Beginner,6,Free,LKDI6444
LK0066,Sakshi Rao,sakshi.rao47@gmail.com,9770743115,11,6th,Gurugram,St. Xavier's School,MERN Stack Basics - Batch 8,2024-01-11,2025-05-07,2035,42,50,42,37.4,Champion,10,Pro,LKSA1166
LK0067,Pallavi Bhatia,pallavi.bhatia23@gmail.com,9416982272,11,8th,Jaipur,Bal Bharati Public School,MERN Stack Basics - Batch 7,2024-01-21,2025-06-21,4883,55,83,11,76.8,Innovator,10,Free,LKPA5740
LK0068,Sakshi Agarwal,sakshi.agarwal48@gmail.com,9302241407,12,7th,Chandigarh,Amity International School,MERN Stack Basics - Batch 8,2024-04-08,2025-05-18,2408,48,118,49,88.5,Builder,1,Basic,LKSA4085
LK0069,Aarohi Singh,aarohi.singh83@gmail.com,9376979648,11,7th,Indore,Amity International School,MERN Stack Basics - Batch 8,2024-04-21,2025-06-23,4124,59,118,11,79.8,Innovator,5,Free,LKAA2180
LK0070,Kavya Reddy,kavya.reddy43@gmail.com,9253114967,13,6th,Lucknow,Kendriya Vidyalaya,MERN Stack Basics - Batch 6,2024-09-12,2025-03-09,756,48,52,23,81.6,Explorer,3,Free,LKKA8222
LK0071,Ayaan Reddy,ayaan.reddy93@gmail.com,9121034158,13,6th,Noida,Delhi Public School,MERN Stack Basics - Batch 8,2025-05-17,2025-01-25,255,25,72,49,48.3,Beginner,8,Pro,LKAY6903
LK0072,Mehak Kapoor,mehak.kapoor72@gmail.com,9732893945,13,8th,Bhopal,St. Xavier's School,MERN Stack Basics - Batch 8,2024-08-14,2025-04-02,4065,54,115,49,61.7,Coder,7,Pro,LKME3971
LK0073,Diya Gupta,diya.gupta65@gmail.com,9127175742,14,8th,Bangalore,The Shri Ram School,MERN Stack Basics - Batch 7,2024-10-10,2025-02-22,2837,6,27,0,46.1,Builder,1,Basic,LKDI2872
LK0074,Dhruv Patel,dhruv.patel19@gmail.com,9139515624,11,6th,Mumbai,Bal Bharati Public School,MERN Stack Basics - Batch 6,2025-02-28,2025-01-08,4154,54,18,21,35.7,Beginner,10,Free,LKDH7820
LK0075,Govind Dubey,govind.dubey80@gmail.com,9889076200,14,6th,Pune,Amity International School,MERN Stack Basics - Batch 8,2024-03-16,2025-01-13,1414,44,54,23,45.4,Explorer,5,Basic,LKGO7095
LK0076,Tanvi Dubey,tanvi.dubey32@gmail.com,9863901345,13,6th,Chennai,Springdales School,MERN Stack Basics - Batch 6,2024-10-05,2025-03-23,2566,34,84,44,47.0,Innovator,5,Basic,LKTA5836
LK0077,Rohan Khanna,rohan.khanna64@gmail.com,9683954228,14,7th,Chandigarh,Bal Bharati Public School,MERN Stack Basics - Batch 6,2024-06-03,2025-01-12,217,39,114,9,47.5,Coder,6,Pro,LKRO2473
LK0078,Harshit Bajaj,harshit.bajaj94@gmail.com,9108768391,12,6th,Delhi,DAV Public School,MERN Stack Basics - Batch 7,2025-05-13,2025-04-14,4326,9,4,47,77.9,Coder,2,Free,LKHA7343
LK0079,Advait Reddy,advait.reddy96@gmail.com,9818933791,11,8th,Chennai,Kendriya Vidyalaya,MERN Stack Basics - Batch 7,2024-01-31,2025-01-28,1938,76,13,30,64.9,Innovator,6,Basic,LKAD1064
LK0080,Vikram Patel,vikram.patel80@gmail.com,9419338422,11,6th,Lucknow,Amity International School,MERN Stack Basics - Batch 6,2024-06-26,2025-05-05,552,14,39,18,71.3,Champion,2,Basic,LKVI9831
LK0081,Simran Choudhary,simran.choudhary35@gmail.com,9901458298,14,8th,Gurugram,Amity International School,MERN Stack Basics - Batch 6,2025-04-25,2025-03-29,2913,11,110,32,78.9,Coder,9,Pro,LKSI3541
LK0082,Varun Saxena,varun.saxena42@gmail.com,9543499900,12,8th,Jaipur,Kendriya Vidyalaya,MERN Stack Basics - Batch 6,2025-01-03,2025-03-01,2220,42,21,20,77.8,Champion,10,Pro,LKVA3955
LK0083,Kavya Kapoor,kavya.kapoor66@gmail.com,9922422533,14,6th,Ahmedabad,Delhi Public School,MERN Stack Basics - Batch 8,2025-03-31,2025-01-09,1635,9,83,49,94.1,Beginner,4,Free,LKKA4160
LK0084,Lakshay Rastogi,lakshay.rastogi78@gmail.com,9108164224,14,7th,Hyderabad,Delhi Public School,MERN Stack Basics - Batch 8,2025-05-17,2025-06-27,4759,48,33,38,75.5,Coder,2,Free,LKLA7725
LK0085,Dhruv Joshi,dhruv.joshi18@gmail.com,9748686351,12,7th,Bangalore,Kendriya Vidyalaya,MERN Stack Basics - Batch 7,2024-10-25,2025-02-05,4318,31,16,34,97.5,Champion,3,Free,LKDH7694
LK0086,Pooja Srivastava,pooja.srivastava86@gmail.com,9925845066,14,7th,Pune,Kendriya Vidyalaya,MERN Stack Basics - Batch 7,2024-05-12,2025-06-06,2217,63,9,1,66.4,Innovator,9,Free,LKPO5415
LK0087,Bhavna Mehta,bhavna.mehta99@gmail.com,9525672362,11,8th,Lucknow,Modern School,MERN Stack Basics - Batch 8,2025-04-01,2025-06-27,1598,68,93,10,75.0,Builder,2,Free,LKBH3916
LK0088,Nisha Joshi,nisha.joshi53@gmail.com,9745279931,12,7th,Ahmedabad,The Shri Ram School,MERN Stack Basics - Batch 6,2025-03-12,2025-05-16,3257,77,12,47,77.5,Champion,5,Free,LKNI2850
LK0089,Aarush Verma,aarush.verma68@gmail.com,9831050335,14,8th,Chandigarh,Kendriya Vidyalaya,MERN Stack Basics - Batch 8,2025-04-11,2025-06-18,1272,34,69,50,70.5,Explorer,3,Free,LKAA4157
LK0090,Aarush Gupta,aarush.gupta77@gmail.com,9392479026,13,7th,Chennai,Kendriya Vidyalaya,MERN Stack Basics - Batch 7,2024-05-12,2025-05-09,1027,66,52,19,92.3,Builder,9,Free,LKAA4060
LK0091,Parth Patel,parth.patel82@gmail.com,9739100528,11,8th,Ahmedabad,St. Xavier's School,MERN Stack Basics - Batch 7,2024-06-13,2025-04-02,4214,79,25,38,67.1,Champion,4,Basic,LKPA5664
LK0092,Advait Singh,advait.singh85@gmail.com,9639519177,12,7th,Bangalore,Delhi Public School,MERN Stack Basics - Batch 7,2024-02-20,2025-02-04,3911,77,55,48,48.4,Coder,7,Pro,LKAD1831
LK0093,Kiara Rastogi,kiara.rastogi27@gmail.com,9472564079,14,8th,Ahmedabad,St. Xavier's School,MERN Stack Basics - Batch 6,2024-04-20,2025-02-27,368,1,52,43,61.5,Explorer,4,Basic,LKKI8192
LK0094,Ankita Yadav,ankita.yadav33@gmail.com,9369421250,13,8th,Ahmedabad,Bal Bharati Public School,MERN Stack Basics - Batch 7,2024-12-23,2025-04-28,831,9,62,1,36.8,Coder,5,Basic,LKAN5552
LK0095,Avni Singh,avni.singh40@gmail.com,9613476817,12,8th,Jaipur,The Shri Ram School,MERN Stack Basics - Batch 7,2025-03-31,2025-02-20,896,29,106,42,90.6,Champion,1,Free,LKAV3284
LK0096,Krishna Shukla,krishna.shukla74@gmail.com,9681518666,13,6th,Kolkata,The Shri Ram School,MERN Stack Basics - Batch 8,2024-09-04,2025-06-14,609,62,25,19,72.9,Innovator,1,Free,LKKR5886
LK0097,Yash Sharma,yash.sharma65@gmail.com,9300252743,11,7th,Lucknow,Modern School,MERN Stack Basics - Batch 6,2024-09-18,2025-04-01,671,35,39,28,95.2,Beginner,8,Free,LKYA9095
LK0098,Varun Patel,varun.patel37@gmail.com,9580347387,14,6th,Kolkata,The Shri Ram School,MERN Stack Basics - Batch 8,2024-07-29,2025-06-25,4388,47,105,18,66.8,Beginner,10,Basic,LKVA5153
LK0099,Sanya Singh,sanya.singh10@gmail.com,9333624445,12,8th,Gurugram,Ryan International School,MERN Stack Basics - Batch 7,2024-07-29,2025-04-09,559,53,90,9,55.5,Beginner,4,Free,LKSA1740
LK0100,Ritvik Rastogi,ritvik.rastogi84@gmail.com,9329713638,13,8th,Indore,Ryan International School,MERN Stack Basics - Batch 8,2025-02-08,2025-06-16,2772,34,11,19,36.0,Innovator,3,Free,LKRI2776
LK0101,Muskan Kapoor,muskan.kapoor94@gmail.com,9168602733,14,8th,Noida,Bal Bharati Public School,MERN Stack Basics - Batch 7,2024-02-20,2025-05-30,3242,60,20,7,35.8,Explorer,6,Basic,LKMU2342
LK0102,Vihaan Tiwari,vihaan.tiwari83@gmail.com,9723181867,11,8th,Bhopal,Ryan International School,MERN Stack Basics - Batch 8,2024-06-13,2025-03-07,1120,28,113,47,45.1,Explorer,3,Basic,LKVI5226
LK0103,Aarohi Malhotra,aarohi.malhotra56@gmail.com,9673342539,13,8th,Mumbai,DAV Public School,MERN Stack Basics - Batch 6,2025-01-20,2025-03-31,2576,52,109,13,67.5,Innovator,1,Free,LKAA9175
LK0104,Aryan Singh,aryan.singh10@gmail.com,9775834044,11,8th,Bangalore,Amity International School,MERN Stack Basics - Batch 6,2024-04-12,2025-06-10,718,6,73,14,45.1,Explorer,10,Free,LKAR6406
LK0105,Pranav Srivastava,pranav.srivastava84@gmail.com,9222242602,11,6th,Delhi,DAV Public School,MERN Stack Basics - Batch 8,2024-09-10,2025-01-24,4219,29,7,8,64.5,Explorer,5,Free,LKPR3397
LK0106,Karan Singh,karan.singh91@gmail.com,9891169256,11,7th,Indore,Ryan International School,MERN Stack Basics - Batch 6,2025-03-10,2025-06-26,4886,42,60,40,57.6,Coder,3,Free,LKKA3277
LK0107,Pranav Dubey,pranav.dubey28@gmail.com,9132516105,11,8th,Lucknow,Bal Bharati Public School,MERN Stack Basics - Batch 8,2025-03-11,2025-05-21,1046,20,109,26,50.8,Beginner,7,Basic,LKPR2462
LK0108,Aisha Mishra,aisha.mishra52@gmail.com,9870327047,14,7th,Gurugram,Delhi Public School,MERN Stack Basics - Batch 8,2024-11-09,2025-02-04,210,78,52,31,65.3,Innovator,7,Pro,LKAI5323
LK0109,Varun Kumar,varun.kumar74@gmail.com,9708482329,13,8th,Chennai,Ryan International School,MERN Stack Basics - Batch 6,2024-03-21,2025-05-06,3574,33,77,2,46.4,Coder,6,Basic,LKVA8134
LK0110,Simran Sharma,simran.sharma64@gmail.com,9927239705,14,6th,Mumbai,Modern School,MERN Stack Basics - Batch 8,2025-03-31,2025-03-07,992,67,36,29,43.1,Beginner,1,Basic,LKSI6719
LK0111,Parth Patel,parth.patel70@gmail.com,9546828317,11,7th,Gurugram,St. Xavier's School,MERN Stack Basics - Batch 8,2024-03-25,2025-04-20,2380,71,28,29,98.3,Beginner,10,Pro,LKPA7387
LK0112,Sneha Bajaj,sneha.bajaj88@gmail.com,9939872719,12,6th,Ahmedabad,The Shri Ram School,MERN Stack Basics - Batch 6,2025-02-24,2025-02-19,3947,51,84,46,86.0,Coder,4,Free,LKSN2399
LK0113,Muskan Joshi,muskan.joshi35@gmail.com,9878692594,12,7th,Chandigarh,Kendriya Vidyalaya,MERN Stack Basics - Batch 7,2024-04-02,2025-03-04,1826,28,79,45,80.6,Champion,6,Free,LKMU9082
LK0114,Ruchika Reddy,ruchika.reddy31@gmail.com,9863078364,12,7th,Indore,Bal Bharati Public School,MERN Stack Basics - Batch 7,2024-01-05,2025-04-13,4147,41,75,49,93.2,Explorer,10,Pro,LKRU4815
LK0115,Deepa Agarwal,deepa.agarwal45@gmail.com,9614854302,13,7th,Ahmedabad,Kendriya Vidyalaya,MERN Stack Basics - Batch 7,2024-01-24,2025-04-20,1243,16,108,36,88.6,Coder,6,Free,LKDE1164
LK0116,Ishita Choudhary,ishita.choudhary94@gmail.com,9935184282,12,8th,Lucknow,St. Xavier's School,MERN Stack Basics - Batch 7,2025-03-12,2025-01-24,3143,55,10,38,49.7,Explorer,3,Pro,LKIS8857
LK0117,Pranav Joshi,pranav.joshi40@gmail.com,9331500559,14,8th,Gurugram,Springdales School,MERN Stack Basics - Batch 6,2025-05-21,2025-01-30,4342,76,11,9,78.1,Beginner,5,Free,LKPR4279
LK0118,Kritika Patel,kritika.patel18@gmail.com,9722910450,13,6th,Pune,Modern School,MERN Stack Basics - Batch 7,2024-01-22,2025-05-31,317,48,35,19,50.8,Champion,9,Basic,LKKR2624
LK0119,Navya Nair,navya.nair10@gmail.com,9954091555,11,8th,Pune,Amity International School,MERN Stack Basics - Batch 7,2024-10-17,2025-05-14,674,68,58,3,76.8,Coder,2,Pro,LKNA6365
LK0120,Aisha Tiwari,aisha.tiwari70@gmail.com,9926204083,11,6th,Chandigarh,Bal Bharati Public School,MERN Stack Basics - Batch 7,2025-04-25,2025-05-12,1786,3,93,6,97.2,Champion,3,Basic,LKAI1847
LK0121,Aditya Saxena,aditya.saxena74@gmail.com,9331400596,14,8th,Chandigarh,Modern School,MERN Stack Basics - Batch 8,2025-04-01,2025-03-22,394,56,72,22,32.3,Coder,10,Free,LKAD9343
LK0122,Parth Agarwal,parth.agarwal48@gmail.com,9354038751,11,6th,Chandigarh,The Shri Ram School,MERN Stack Basics - Batch 8,2025-03-26,2025-06-04,1510,32,65,15,45.6,Champion,9,Free,LKPA1503
